observation_id	stage	v8_outcome	nearest_original_roi_id	candidate_original_r	candidate_neighbor_r	candidate_neighbor_partial_r_given_original	nnls_original_weight	nnls_neighbor_weight	nnls_two_trace_r2
b04__roi_027	local_standardization	identity_clear_miss	roi_005	0.19606879258182677	0.32596223861505724	0.29008422588309973	0.11864420753690066	0.2948024632325782	0.11935689738311228
b02__roi_011	raw	identity_collision	roi_new_001	0.8760426646526739	0.9110076059558224	0.6065244446609152	0.32426487523217223	0.6245054552923693	0.8529990850839113
b02__roi_011	cs_parzen_ica	identity_collision	roi_new_001	0.7882585456197199	0.8447122309498009	0.6095659581187433	0.3422051195280225	0.5828021259814077	0.7620461938628237
b02__roi_011	local_standardization	identity_collision	roi_new_001	0.6316680983252729	0.7025185287085561	0.5383145336178947	0.3430862451770446	0.5073829536901691	0.5731625621707614
b04__roi_025	raw	identity_clear_miss	roi_010	0.39887204691391714	0.4912519038325179	0.3555536605557141	0.1854499975904412	0.38968493192785947	0.2654042848434862
b04__roi_025	cs_parzen_ica	identity_clear_miss	roi_010	0.0470277121222832	0.19135036070559278	0.18585929310195062	0.008168573829385531	0.18967686329224323	0.03667888554697418
b04__roi_025	local_standardization	identity_clear_miss	roi_010	0.015656184593603302	0.14945661467942783	0.1487788147806168	0.0	0.14945661467942792	0.02233727967143495
b04__roi_023	raw	identity_collision	roi_026	0.43613255671538576	0.7048794003287634	0.6397979728470131	0.1732473616690681	0.6329206724037233	0.5216915588085399
b04__roi_023	cs_parzen_ica	identity_collision	roi_026	0.14603631162331657	0.37111642589376265	0.36441308541356077	0.11684572114734555	0.3616861630205667	0.15129139426074645
b04__roi_023	local_standardization	identity_collision	roi_026	0.05581550351656639	0.245734504900459	0.2444371942045204	0.04791375041664035	0.24418402416290186	0.06267877038714431
b02__roi_012	raw	identity_collision	roi_new_002	0.8111633448015719	0.9999999999999998	0.9999999999999998	0.0	1.0000000000000002	1.0
b02__roi_012	cs_parzen_ica	identity_collision	roi_new_002	0.5648661539797257	1.0	1.0	0.0	0.9999999999999997	1.0
b02__roi_012	local_standardization	identity_collision	roi_new_002	0.35511246272435937	1.0	0.9999999999999999	4.195704110467708e-18	1.0	1.0
