observation_id	site_id	original_roi_id	canonical_roi_id	trace_class_id	burst_id	stage	x_px	y_px	event_start_ui	event_end_ui	baseline	pre_noise_mad	event_peak	event_min	event_area_signed	event_area_positive	robust_snr	time_to_peak_s	fwhm_s	persistence_ratio	baseline_slope_per_s	spatial_center_peakmap	spatial_annulus_peakmap	center_annulus_contrast	effective_radius_px	peak_offset_px	high_response_components	annulus_event_peak	center_annulus_trace_correlation	raw_local_saturation_fraction	raw_center_saturation_fraction	previous_stage	shape_corr_from_previous	peak_gain_from_previous	peak_time_shift_from_previous_s	contrast_gain_from_previous	recovery_candidate_metadata_available	recovery_matched_at_58	recovery_nearest_rank	recovery_nearest_distance_px	ica_to_ls_effective_scale_proxy_median	ica_to_ls_effective_scale_proxy_min
b04__roi_010	roi_010@x389_y139	roi_010	roi_010	1	4	CS-Parzen ICA	388.694	138.907	2254	2300	1.5382585525512695	0.5176120590448379	5.327945709228516	-0.8158563375473022	79.88454675674438	81.28236627578735	10.293318337225346	1.6	2.5	0.4963462509864541	0.1060575885432098	4.723247931553767	5.52938649193807	-0.8061385603843032	8.23932686605106	0.2962199319788394	10	4.371169189837846	0.8438886061049293	nan	nan	Raw	0.6886373197411513	0.012776848223538943	0.6000000000000001	0.02051571705604006	True	False	17	4.151419636702599	nan	nan
b04__roi_010	roi_010@x389_y139	roi_010	roi_010	1	4	Local standardization	388.694	138.907	2254	2300	-0.44443920254707336	0.7569624506413937	5.311315804719925	-1.2794758975505829	41.46693433076143	48.586733259260654	7.016617261797985	1.0	1.1	0.06938458831916865	0.15423934993201083	4.369020758913114	5.015649950556425	-0.6466291916433118	8.247367588695795	0.3189491211543949	21	4.031805192205039	0.8657648641682032	nan	nan	CS-Parzen ICA	0.8142381420428696	0.9968787396844783	-0.6000000000000001	0.8021315741765058	True	False	17	4.151419636702599	3.3887941758880844	0.419047200129429
b04__roi_006	roi_006@x407_y243	roi_006	roi_006	2	4	Raw	406.843	242.863	2254	2300	1122.0	72.64739999999999	258.0	-158.0	4012.0	4495.0	3.5514003253584936	1.0	2.2	0.2093085821898818	145.0714285714283	314.53846153846155	285.70454545454544	28.833916083916108	8.465072217208773	0.7258717404053474	34	192.2613636363635	0.7933036869102468	0.0	0.0		nan	nan	nan	nan	True	True	42	4.792224744312409	nan	nan
b04__roi_006	roi_006@x407_y243	roi_006	roi_006	2	4	CS-Parzen ICA	406.843	242.863	2254	2300	2.8723137378692627	1.5227435933589935	3.4526984691619873	-2.3974287807941437	-17.86354038119316	13.562841415405273	2.2674194670412766	0.8	0.1	0.734958081555577	1.5111331897122526	3.7219883662003737	3.1054299690506677	0.616558397149706	8.471834817624586	0.8338448337865313	34	1.7081859924576497	0.18387539521845622	nan	nan	Raw	0.14381546921735813	0.013382552206002344	-0.19999999999999996	0.021383096050288024	True	True	42	4.792224744312409	nan	nan
b04__roi_006	roi_006@x407_y243	roi_006	roi_006	2	4	Local standardization	406.843	242.863	2254	2300	1.1392968893051147	1.9421219638109206	3.204682946205139	-3.075754761695862	-52.44883275585016	7.370062589645386	1.6500935596581534	0.8	0.1	0.08595143291228603	1.9465829333556555	3.6386274380179553	2.9586161150364205	0.6800113229815348	8.456937139270094	0.5428206520853756	41	1.6321744456336917	0.46467111778248515	nan	nan	CS-Parzen ICA	0.9498586032980144	0.9281676271182718	0.0	1.1029147036554061	True	True	42	4.792224744312409	3.028375132983508	0.24523369116991744
b01__roi_012	roi_012@x441_y158	roi_012	roi_012	1	1	Raw	441.314	157.951	2003	2026	876.0	91.9212	371.0	95.0	4852.0	4852.0	4.036065673598299	0.8	1.9	0.8683095879858035	91.78571428571405	334.7692307692308	302.2613636363636	32.50786713286715	8.29938341736576	1.0331743563780003	18	225.61363636363637	0.8550149273602206	0.0	0.0		nan	nan	nan	nan	True	False	6	6.566810260697359	nan	nan
b01__roi_012	roi_012@x441_y158	roi_012	roi_012	1	1	CS-Parzen ICA	441.314	157.951	2003	2026	2.216647148132324	0.4994925290107727	4.589023590087891	-1.3359012603759766	34.42524313926697	36.107874393463135	9.187371811123818	1.0	0.6	0.4914655978123034	0.9930728290762216	4.182695535513071	3.5104147764769467	0.6722807590361244	8.284481393340977	1.415283352820332	17	2.4200997227294883	0.749398480978835	nan	nan	Raw	0.6576553045022725	0.012369335822305988	0.19999999999999996	0.020680555764168638	True	False	6	6.566810260697359	nan	nan
b01__roi_012	roi_012@x441_y158	roi_012	roi_012	1	1	Local standardization	441.314	157.951	2003	2026	0.831550657749176	0.8373899244904518	3.2119287848472595	-2.1296951174736023	15.689343422651291	23.68383026123047	3.835642974765981	1.0	1.0	0.11135046297349516	1.6156875182475365	4.317816092704351	3.8647997230503033	0.4530163696540481	8.324403345114435	0.9296721159541759	22	2.6370520818534056	0.6690546388728235	nan	nan	CS-Parzen ICA	0.8462336151111751	0.6999155094963955	0.0	0.6738499695122998	True	False	6	6.566810260697359	2.7455587689299126	0.6784647137642917
b04__b006_c16	b006_c16@x404_y136	b006_c16	roi_new_030	1	4	Raw	404.0	136.0	2254	2300	897.0	44.477999999999994	451.0	-41.0	7420.0	7496.0	10.139844417236842	1.3	2.7	0.5542193655400053	8.85714285714279	401.6923076923077	362.40909090909093	39.283216783216744	8.467926281733373	0.3329450440524596	25	274.60227272727263	0.8790720989501276	0.0	0.0		nan	nan	nan	nan	False				nan	nan
b04__b006_c16	b006_c16@x404_y136	b006_c16	roi_new_030	1	4	CS-Parzen ICA	404.0	136.0	2254	2300	1.6940544843673706	0.6679252794027328	5.787768483161926	-1.230471819639206	80.96643087267876	85.06869089603424	8.665293338907802	1.4	2.0	0.7031900771519168	-0.037786947829382654	5.022280280406658	4.384285700592128	0.6379945798145306	8.44238374338913	0.4120327085689344	35	3.3042267439040267	0.8261013390028679	nan	nan	Raw	0.6257808638051273	0.012833189541350539	0.09999999999999987	0.01624089451021905	False				nan	nan
b04__b006_c16	b006_c16@x404_y136	b006_c16	roi_new_030	1	4	Local standardization	404.0	136.0	2254	2300	-0.14928321540355682	0.9933759808570146	4.760110184550285	-1.5709312707185745	40.32204304821789	48.940774040296674	4.791851495796936	1.4	0.7	0.20934178872841352	-0.044889003836682755	4.481806111163818	4.184091643959453	0.297714467204365	8.359571375153601	0.20339822695194548	39	3.215016512766438	0.7545535634672083	nan	nan	CS-Parzen ICA	0.8856895976795186	0.8224430879666662	0.0	0.46664105959061847	False				4.585974320410976	0.2694910425281751
b01__roi_010	roi_010@x389_y139	roi_010	roi_010	1	1	Raw	388.694	138.907	2003	2026	941.0	35.5824	274.0	-12.0	2534.0	2546.0	7.700436170474718	0.6	2.0	0.6950732356852896	3.3928571428571135	238.92307692307693	225.7159090909091	13.20716783216784	8.316166416170608	0.22908176955817694	47	153.10227272727263	0.7196128620456042	0.0	0.0		nan	nan	nan	nan	True	True	18	2.5519179062030775	nan	nan
b01__roi_010	roi_010@x389_y139	roi_010	roi_010	1	1	CS-Parzen ICA	388.694	138.907	2003	2026	1.9135171175003052	0.6472384285926819	3.201743006706238	-0.9861788749694824	18.360400795936584	21.378248691558838	4.946775191827143	0.8	1.9	0.3517351803519432	-0.6595643141439982	2.942145971151499	2.563339890404181	0.3788060807473177	8.233085330409088	0.16105849454403565	46	1.4046960439194331	0.5646126181695684	nan	nan	Raw	0.21492609556377412	0.011685193455089608	0.20000000000000007	0.02868185560540864	True	True	18	2.5519179062030775	nan	nan
b01__roi_010	roi_010@x389_y139	roi_010	roi_010	1	1	Local standardization	388.694	138.907	2003	2026	0.12998433411121368	0.9855392545133829	3.639259859919548	-1.6188714057207108	14.663265462964773	21.834048196673393	3.692658450244887	0.8	1.9	0.20624226912704963	-1.0174398832023144	3.5459627360105515	3.0681149776745853	0.47784775833596616	8.266953964574807	0.09518831640822815	41	1.7893276871317623	0.5518799309542504	nan	nan	CS-Parzen ICA	0.9729834601954505	1.1366495846669318	0.0	1.2614574616431689	True	True	18	2.5519179062030775	2.2665186868233924	0.6228394600061269
b02__roi_new_001	roi_new_001@x428_y146	roi_new_001	roi_new_001	1	2	Raw	428.0	146.0	2040	2063	1107.0	180.8772	457.0	-10.0	5152.0	5162.0	2.5265760416319663	0.1	2.3	0.3865162503356469	395.39285714285677	382.38461538461536	254.79545454545453	127.58916083916083	8.327699110695399	0.30685077454327125	28	195.23863636363626	0.9137182233543222	0.0	0.0		nan	nan	nan	nan	False				nan	nan
b02__roi_new_001	roi_new_001@x428_y146	roi_new_001	roi_new_001	1	2	CS-Parzen ICA	428.0	146.0	2040	2063	4.782751083374023	2.5963488565921784	3.4974679946899414	-3.1477415561676025	10.395105123519897	26.706438064575195	1.3470716712289001	0.1	0.8	0.09303975905674337	1.989065093653542	4.768996660525982	3.347303119572726	1.4216935409532558	8.307070614297269	0.34008638487715515	19	2.3403828265992077	0.821320726834581	nan	nan	Raw	0.649455709711264	0.007653102833002819	0.0	0.011142745446333823	False				nan	nan
